,timestamp,image_path,Lat,Lon,GPS_MSL_Alt,WGS_84_Alt,Press_Alt,Grnd_Spd,True_Airspeed,Mach_Number,Vert_Velocity,True_Hdg,Track,Drift,Pitch,Roll,Ambient_Temp,Total_Temp,Static_Press,Dynamic_Press,Cabin_Pressure,Wind_Speed,Wind_Dir,Solar_Zenith,Sun_Elev_AC,Sun_Az_Grd,Sun_Az_AC,hour_of_day,day_of_year,validation_height,sequence_length,Estimated height,Diff,Speed
75840,18-04-2017 18:18:10,60fps_v1/20170418/170418_175706_183328_frames/20170418_181810_frame_75840.jpg,35.08812423,-85.84269485,19955.1,19955,65040,209.6,203.3,0.697,-14,-178.44,179.6,-2.1,0.91,-0.17,-61.5,-41,56.3,21.6,310.3,10.1,311.6,25.3,63.7,-159.9,18.9,18.3,108,13431,241,13198,233,0.043438254
76140,18-04-2017 18:18:15,60fps_v1/20170418/170418_175706_183328_frames/20170418_181815_frame_76140.jpg,35.07870481,-85.84243469,19954.8,19955,65045,209.8,204,0.7,-54,-178.47,179.6,-2.1,0.86,-0.07,-61.6,-40.9,56.3,21.8,310.1,9.6,309.1,25.3,63.8,-159.8,18.8,18.3,108,13431,241,12804,627,0.041081503
76440,18-04-2017 18:18:20,60fps_v1/20170418/170418_175706_183328_frames/20170418_181820_frame_76440.jpg,35.06928162,-85.84251246,19953.2,19953.6,65032.5,209.9,204.5,0.702,-74,-178.43,179.6,-2.1,0.82,-0.12,-61.6,-40.8,56.3,21.9,310.1,9.5,306.9,25.2,63.9,-159.8,19,18.3,108,13431,241,13514,83,0.045644121
76740,18-04-2017 18:18:25,60fps_v1/20170418/170418_175706_183328_frames/20170418_181825_frame_76740.jpg,35.05985391,-85.84224175,19952.6,19952.5,65032.5,210,205.2,0.704,37,-178.38,179.6,-2.1,0.92,-0.19,-61.7,-40.7,56.3,22.1,311.3,9.2,303.4,25.2,63.7,-159.7,19.1,18.3,108,13431,241,13115,316,0.043010992
77040,18-04-2017 18:18:30,60fps_v1/20170418/170418_175706_183328_frames/20170418_181830_frame_77040.jpg,35.05042225,-85.84231515,19954.3,19953.9,65040,210,205.6,0.706,88,-178.45,179.6,-2,0.87,-0.18,-61.8,-40.7,56.3,22.2,309.6,8.7,301.8,25.2,63.8,-159.6,19.2,18.3,108,13461,241,13229,232,0.043727842
77340,18-04-2017 18:18:35,60fps_v1/20170418/170418_175706_183328_frames/20170418_181835_frame_77340.jpg,35.04099378,-85.84204226,19957.2,19956.6,65050,210,205.7,0.706,97,-178.53,179.6,-1.9,0.81,-0.08,-61.8,-40.7,56.3,22.2,310.3,8.3,301.8,25.2,63.9,-159.6,19.2,18.3,108,13461,241,13143,318,0.043152476
77640,18-04-2017 18:18:40,60fps_v1/20170418/170418_175706_183328_frames/20170418_181840_frame_77640.jpg,35.03156363,-85.84210645,19959.1,19959,65062.5,210,206,0.707,9,-178.54,179.7,-1.9,0.69,-0.08,-61.7,-40.5,56.2,22.3,310.1,8.2,302.7,25.2,64,-159.5,19.3,18.3,108,13461,241,13168,293,0.043294893
77940,18-04-2017 18:18:45,60fps_v1/20170418/170418_175706_183328_frames/20170418_181845_frame_77940.jpg,35.0221241,-85.8421631,19958.7,19959,65055,210.2,206.1,0.707,-48,-178.46,179.7,-1.9,0.65,0.01,-61.7,-40.5,56.2,22.3,309.3,8.2,302.7,25.2,64.1,-159.5,19.1,18.3,108,13461,241,12910,551,0.041757185
78240,18-04-2017 18:18:50,60fps_v1/20170418/170418_175706_183328_frames/20170418_181850_frame_78240.jpg,35.01268281,-85.8418644,19957.2,19957.5,65047.5,210.3,206.2,0.708,-51,-178.51,179.8,-1.8,0.62,-0.01,-61.8,-40.7,56.3,22.3,309.5,8.1,303.8,25.2,64.1,-159.4,19.3,18.3,108,13461,241,13066,395,0.042730791
78540,18-04-2017 18:18:55,60fps_v1/20170418/170418_175706_183328_frames/20170418_181855_frame_78540.jpg,35.00323565,-85.84190161,19956.3,19956.4,65042.5,210.3,205.7,0.707,0,-178.57,179.8,-1.7,0.66,0.14,-61.6,-40.5,56.3,22.2,309.1,7.6,306.9,25.2,64.1,-159.4,19.1,18.3,108,13461,241,13065,396,0.042730791
78840,18-04-2017 18:19:00,60fps_v1/20170418/170418_175706_183328_frames/20170418_181900_frame_78840.jpg,34.99379394,-85.84192197,19956.4,19956.4,65050,210.2,205.7,0.706,-5,-178.56,179.9,-1.6,0.7,0.15,-61.7,-40.6,56.3,22.2,309.3,7.6,308.4,25.2,64.1,-159.3,19.1,18.31666667,108,13431,241,13091,340,0.042870434
79140,18-04-2017 18:19:05,60fps_v1/20170418/170418_175706_183328_frames/20170418_181905_frame_79140.jpg,34.98435458,-85.84192926,19956,19956.2,65047.5,210.2,205.4,0.705,-57,-178.4,180,-1.7,0.66,-0.1,-62.1,-41.1,56.3,22.1,309.9,8,309,25.2,64,-159.3,19.5,18.31666667,108,13461,241,12736,725,0.040764343
79440,18-04-2017 18:19:10,60fps_v1/20170418/170418_175706_183328_frames/20170418_181910_frame_79440.jpg,34.9749127,-85.84193278,19954.3,19954.7,65035,210.2,205.3,0.705,-77,-178.3,180,-1.8,0.66,-0.26,-62,-41,56.3,22.1,309.3,8.3,307.6,25.2,64,-159.2,19.7,18.31666667,108,13461,241,12662,799,0.040362064
79740,18-04-2017 18:19:15,60fps_v1/20170418/170418_175706_183328_frames/20170418_181915_frame_79740.jpg,34.96547526,-85.84193529,19952.6,19952.9,65030,210.1,205.1,0.705,-44,-178.32,180,-1.8,0.78,-0.31,-61.9,-41,56.3,22.1,309,8.4,309,25.2,63.9,-159.2,19.8,18.31666667,108,13461,241,13218,243,0.04368605
80040,18-04-2017 18:19:20,60fps_v1/20170418/170418_175706_183328_frames/20170418_181920_frame_80040.jpg,34.95604,-85.84194116,19952.1,19952.1,65030,210,204.8,0.704,14,-178.34,180,-1.8,0.82,-0.21,-61.8,-40.9,56.3,22.1,308.7,8.5,309.8,25.2,63.9,-159.1,19.7,18.31666667,108,13431,241,13781,350,0.047654402
80340,18-04-2017 18:19:25,60fps_v1/20170418/170418_175706_183328_frames/20170418_181925_frame_80340.jpg,34.94660458,-85.84195113,19952.8,19952.7,65027.5,210,204.4,0.702,33,-178.33,179.9,-1.8,0.88,-0.34,-62.2,-41.4,56.3,22,309.4,8.8,311.8,25.2,63.8,-159.1,19.9,18.31666667,108,13401,241,13438,37,0.045142251
80640,18-04-2017 18:19:30,60fps_v1/20170418/170418_175706_183328_frames/20170418_181930_frame_80640.jpg,34.93717678,-85.84196278,19954.2,19953.8,65040,209.9,204.7,0.703,67,-178.21,179.9,-2,0.88,-0.27,-62.1,-41.3,56.3,22,309.1,9.1,308.7,25.2,63.8,-159,19.7,18.31666667,108,13401,241,12985,416,0.04217337
80940,18-04-2017 18:19:35,60fps_v1/20170418/170418_175706_183328_frames/20170418_181935_frame_80940.jpg,34.92774965,-85.8419839,19955.6,19955.4,65042.5,209.8,204.4,0.702,11,-178.18,179.9,-2,0.85,-0.52,-62.1,-41.2,56.3,22,309.1,9.3,307.9,25.2,63.7,-159,20.3,18.31666667,108,13371,241,13274,97,0.043969725
81240,18-04-2017 18:19:40,60fps_v1/20170418/170418_175706_183328_frames/20170418_181940_frame_81240.jpg,34.91832884,-85.84201541,19955.6,19955.7,65037.5,209.7,204,0.701,-31,-178.22,179.8,-2.1,0.91,-0.43,-61.9,-41.1,56.3,21.8,309,9.7,309.4,25.2,63.7,-158.9,20.1,18.31666667,108,13371,241,13627,256,0.046402329
81540,18-04-2017 18:19:45,60fps_v1/20170418/170418_175706_183328_frames/20170418_181945_frame_81540.jpg,34.90891118,-85.84171469,19954.8,19955,65037.5,209.7,203.5,0.699,-43,-178.22,179.7,-2.1,0.9,-0.37,-62.1,-41.5,56.3,21.7,309.1,10,310,25.2,63.7,-158.9,20.1,18.31666667,108,13371,241,13792,421,0.047654402
81840,18-04-2017 18:19:50,60fps_v1/20170418/170418_175706_183328_frames/20170418_181950_frame_81840.jpg,34.89949142,-85.84176874,19954.3,19954.3,65032.5,209.6,203.1,0.698,-1,-178.15,179.7,-2.2,0.95,-0.54,-61.9,-41.3,56.3,21.7,309.1,10.6,310.4,25.2,63.6,-158.8,20.4,18.31666667,108,13371,241,13892,521,0.048419153
82140,18-04-2017 18:19:55,60fps_v1/20170418/170418_175706_183328_frames/20170418_181955_frame_82140.jpg,34.89007678,-85.84183243,19955,19954.7,65035,209.6,202.9,0.697,52,-178.23,179.6,-2.2,0.99,-0.47,-61.9,-41.4,56.3,21.6,309.8,10.7,311.9,25.2,63.6,-158.7,20.3,18.31666667,108,13401,241,13714,313,0.047031469
82440,18-04-2017 18:20:00,60fps_v1/20170418/170418_175706_183328_frames/20170418_182000_frame_82440.jpg,34.88066482,-85.8415644,19956.7,19956.4,65045,209.5,202.7,0.696,41,-178.29,179.6,-2.2,1.01,-0.33,-62.1,-41.6,56.3,21.5,308.7,10.7,312.1,25.2,63.7,-158.7,20.1,18.33333333,108,13401,241,13779,378,0.047497127
82740,18-04-2017 18:20:05,60fps_v1/20170418/170418_175706_183328_frames/20170418_182005_frame_82740.jpg,34.87125319,-85.84164812,19957.5,19957.4,65047.5,209.4,202.5,0.696,-18,-178.25,179.6,-2.3,0.97,-0.34,-62.1,-41.7,56.3,21.5,309,11,312.3,25.2,63.7,-158.6,20.2,18.33333333,108,13431,241,13554,123,0.045793774
83040,18-04-2017 18:20:10,60fps_v1/20170418/170418_175706_183328_frames/20170418_182010_frame_83040.jpg,34.86184626,-85.84139106,19956.9,19957,65042.5,209.4,202.6,0.696,-18,-178.27,179.5,-2.3,0.91,-0.27,-61.9,-41.5,56.3,21.5,309.1,11,312.2,25.2,63.8,-158.6,20.2,18.33333333,108,13431,241,12744,687,0.040650343
83340,18-04-2017 18:20:15,60fps_v1/20170418/170418_175706_183328_frames/20170418_182015_frame_83340.jpg,34.85243509,-85.841484,19956.5,19956.6,65047.5,209.5,202.8,0.697,-16,-178.28,179.5,-2.3,0.81,-0.33,-62,-41.5,56.3,21.6,309,11,310.8,25.2,63.9,-158.5,20.4,18.33333333,108,13401,241,12482,919,0.039245589
83640,18-04-2017 18:20:20,60fps_v1/20170418/170418_175706_183328_frames/20170418_182020_frame_83640.jpg,34.8430238,-85.84123566,19955.8,19955.9,65045,209.6,202.9,0.697,-21,-178.29,179.5,-2.3,0.83,-0.3,-62.2,-41.7,56.3,21.6,309.1,10.9,310.8,25.2,63.9,-158.5,20.4,18.33333333,108,13371,241,11891,1480,0.036390562
83940,18-04-2017 18:20:25,60fps_v1/20170418/170418_175706_183328_frames/20170418_182025_frame_83940.jpg,34.83360999,-85.84099017,19955,19955.1,65035,209.6,202.7,0.697,-18,-178.32,179.5,-2.3,0.92,-0.19,-62.2,-41.7,56.3,21.6,309,10.9,312.1,25.2,63.8,-158.4,20.2,18.33333333,108,13341,241,10788,2553,0.032013891
84240,18-04-2017 18:20:30,60fps_v1/20170418/170418_175706_183328_frames/20170418_182030_frame_84240.jpg,34.82419284,-85.8410914,19954.1,19954.3,65037.5,209.6,202.4,0.695,-36,-178.3,179.5,-2.3,0.98,-0.28,-62.2,-41.8,56.3,21.5,308.7,11.3,312.6,25.2,63.7,-158.4,20.4,18.33333333,108,13281,241,12252,1029,0.038106201
84540,18-04-2017 18:20:35,60fps_v1/20170418/170418_175706_183328_frames/20170418_182035_frame_84540.jpg,34.81477936,-85.8408496,19953.1,19953.2,65027.5,209.6,202,0.694,-11,-178.27,179.5,-2.3,1.09,-0.29,-62.1,-41.7,56.3,21.4,309,11.8,314.2,25.2,63.6,-158.3,20.3,18.33333333,108,13221,241,13441,220,0.045074442
84840,18-04-2017 18:20:40,60fps_v1/20170418/170418_175706_183328_frames/20170418_182040_frame_84840.jpg,34.80536849,-85.84095519,19953.4,19953.2,65030,209.5,201.7,0.693,54,-178.23,179.4,-2.4,1.18,-0.3,-61.9,-41.6,56.3,21.3,310.1,11.9,313.7,25.2,63.5,-158.3,20.3,18.33333333,108,13191,241,13224,33,0.043605573
85140,18-04-2017 18:20:45,60fps_v1/20170418/170418_175706_183328_frames/20170418_182045_frame_85140.jpg,34.79595858,-85.84072596,19954.6,19954.5,65035,209.4,201.8,0.693,4,-178.2,179.4,-2.5,1.07,-0.43,-62.1,-41.9,56.3,21.3,309.3,12.1,313.1,25.2,63.6,-158.2,20.7,18.33333333,108,13161,241,13638,477,0.046426675
85440,18-04-2017 18:20:50,60fps_v1/20170418/170418_175706_183328_frames/20170418_182050_frame_85440.jpg,34.78655383,-85.84050276,19954.9,19954.8,65032.5,209.4,201.9,0.693,-16,-178.16,179.4,-2.6,1.05,-0.44,-62,-41.7,56.3,21.3,308.7,12.3,312,25.2,63.6,-158.2,20.7,18.33333333,108,13161,241,13881,720,0.048283647
85740,18-04-2017 18:20:55,60fps_v1/20170418/170418_175706_183328_frames/20170418_182055_frame_85740.jpg,34.77714698,-85.84063466,19954.6,19954.6,65032.5,209.4,200.9,0.689,-18,-178.46,179.3,-2.3,1.16,-0.26,-61.4,-41.2,56.3,21.1,308.6,12.2,316.8,25.2,63.6,-158.1,20.6,18.33333333,108,13071,241,14069,998,0.049830646
86040,18-04-2017 18:21:00,60fps_v1/20170418/170418_175706_183328_frames/20170418_182100_frame_86040.jpg,34.76774507,-85.84042059,19954.7,19954.6,65032.5,209.3,200.3,0.687,-1,-178.74,179.4,-2,1.17,0.36,-61.2,-41.2,56.3,20.9,308.6,11.9,323.2,25.2,63.8,-158.1,19.7,18.35,108,13071,241,13556,485,0.045815797
86340,18-04-2017 18:21:05,60fps_v1/20170418/170418_175706_183328_frames/20170418_182105_frame_86340.jpg,34.75834354,-85.84018533,19955.1,19955,65032.5,209.4,200.7,0.688,13,-178.6,179.5,-2,1.07,0.38,-60.6,-40.5,56.3,21,309.1,11.7,322.9,25.2,63.9,-158,19.7,18.35,108,13071,241,12483,588,0.039245589
86640,18-04-2017 18:21:10,60fps_v1/20170418/170418_175706_183328_frames/20170418_182110_frame_86640.jpg,34.74893711,-85.84027181,19955.7,19955.5,65035,209.4,201.5,0.691,-7,-178.42,179.6,-2,0.96,0.03,-61.1,-40.8,56.3,21.2,309.8,11.3,318.7,25.2,63.9,-157.9,20.3,18.35,108,13071,241,12574,497,0.039726471
86940,18-04-2017 18:21:15,60fps_v1/20170418/170418_175706_183328_frames/20170418_182115_frame_86940.jpg,34.73952866,-85.84000068,19955,19955.2,65032.5,209.6,201.7,0.691,-71,-178.37,179.6,-2.1,0.95,-0.16,-60.8,-40.5,56.3,21.2,309.1,11.3,318.7,25.2,63.8,-157.9,20.7,18.35,108,13041,241,12122,919,0.037467914
87240,18-04-2017 18:21:20,60fps_v1/20170418/170418_175706_183328_frames/20170418_182120_frame_87240.jpg,34.73011285,-85.84006797,19953.6,19953.8,65027.5,209.7,202.1,0.692,-18,-178.31,179.7,-2.1,1.04,-0.18,-61.1,-40.8,56.3,21.2,310.1,11.3,318.6,25.2,63.7,-157.8,20.7,18.35,108,13041,241,12657,384,0.040249188
87540,18-04-2017 18:21:25,60fps_v1/20170418/170418_175706_183328_frames/20170418_182125_frame_87540.jpg,34.72068857,-85.8397934,19954.2,19953.8,65027.5,209.8,202,0.693,61,-178.3,179.6,-2.1,1.14,-0.23,-61,-40.7,56.3,21.3,309.6,11.3,317.2,25.2,63.6,-157.8,20.7,18.35,108,12981,241,13275,294,0.043989614
87840,18-04-2017 18:21:30,60fps_v1/20170418/170418_175706_183328_frames/20170418_182130_frame_87840.jpg,34.71126663,-85.83986094,19955.9,19955.6,65040,209.8,201.9,0.692,56,-178.42,179.6,-2,1.16,-0.1,-60.8,-40.4,56.3,21.2,309.9,11.3,319.2,25.1,63.6,-157.7,20.6,18.35,108,12951,241,13172,221,0.043316795
88140,18-04-2017 18:21:35,60fps_v1/20170418/170418_175706_183328_frames/20170418_182135_frame_88140.jpg,34.70184009,-85.83992916,19957.6,19957.2,65045,209.8,201.9,0.692,55,-178.41,179.7,-2,1.03,-0.05,-61.1,-40.8,56.3,21.2,309.8,11.3,320.2,25.1,63.8,-157.7,20.7,18.35,108,12921,241,12562,359,0.039726471
88440,18-04-2017 18:21:40,60fps_v1/20170418/170418_175706_183328_frames/20170418_182140_frame_88440.jpg,34.69241371,-85.8396473,19958.6,19958.5,65047.5,210,201.9,0.693,3,-178.18,179.7,-2.2,1.01,-0.15,-61.2,-40.9,56.3,21.3,309.4,11.7,317.6,25.1,63.8,-157.6,20.7,18.35,108,12921,241,11915,1006,0.036558736
88740,18-04-2017 18:21:45,60fps_v1/20170418/170418_175706_183328_frames/20170418_182145_frame_88740.jpg,34.68298143,-85.83971099,19958,19958.2,65042.5,210.1,202.2,0.694,-54,-177.99,179.6,-2.4,0.93,-0.58,-61.7,-41.4,56.3,21.4,309.6,12.2,314.6,25.1,63.7,-157.6,21.5,18.35,108,12981,241,12480,501,0.039343258
89040,18-04-2017 18:21:50,60fps_v1/20170418/170418_175706_183328_frames/20170418_182150_frame_89040.jpg,34.67353938,-85.83944924,19956.6,19956.8,65035,210.2,202.5,0.695,-9,-178.09,179.5,-2.4,0.98,-0.48,-61.5,-41.1,56.3,21.5,309.5,12.1,313.9,25.1,63.7,-157.5,21.4,18.35,108,12981,241,13026,45,0.042472961
89340,18-04-2017 18:21:55,60fps_v1/20170418/170418_175706_183328_frames/20170418_182155_frame_89340.jpg,34.66409554,-85.83954385,19956.5,19956.5,65037.5,210.3,202.6,0.695,7,-178.23,179.5,-2.3,1.04,-0.42,-61.7,-41.3,56.3,21.5,309.4,11.9,314.5,25.1,63.6,-157.5,21.4,18.35,108,13011,241,13349,338,0.044570335
89640,18-04-2017 18:22:00,60fps_v1/20170418/170418_175706_183328_frames/20170418_182200_frame_89640.jpg,34.65464897,-85.83930431,19957,19956.8,65037.5,210.3,202.9,0.696,64,-178.57,179.5,-2,1.09,-0.07,-61.4,-40.9,56.3,21.5,309.3,11,317.4,25.1,63.7,-157.4,21.1,18.36666667,108,12981,241,13465,484,0.045368086
89940,18-04-2017 18:22:05,60fps_v1/20170418/170418_175706_183328_frames/20170418_182205_frame_89940.jpg,34.64519837,-85.83940361,19959.4,19958.8,65047.5,210.3,203,0.696,110,-178.68,179.6,-1.8,1.07,0.36,-61.3,-40.7,56.3,21.5,309.4,10.4,320.2,25.1,63.9,-157.4,20.4,18.36666667,108,12951,241,13264,313,0.043989614
90240,18-04-2017 18:22:10,60fps_v1/20170418/170418_175706_183328_frames/20170418_182210_frame_90240.jpg,34.63575155,-85.839136,19962,19961.6,65055,210.3,203,0.696,51,-178.23,179.6,-2.2,0.97,-0.02,-61.1,-40.5,56.2,21.5,310.1,11.3,316.4,25.1,63.9,-157.3,20.9,18.36666667,108,12951,241,12913,38,0.041777845
90540,18-04-2017 18:22:15,60fps_v1/20170418/170418_175706_183328_frames/20170418_182215_frame_90540.jpg,34.62629769,-85.83920572,19962.6,19962.7,65060,210.5,203.1,0.697,-33,-177.99,179.6,-2.4,0.83,-0.63,-61.4,-40.8,56.2,21.6,309.6,11.9,313.1,25.1,63.8,-157.2,21.9,18.36666667,108,12921,241,12070,851,0.037345069
90840,18-04-2017 18:22:20,60fps_v1/20170418/170418_175706_183328_frames/20170418_182220_frame_90840.jpg,34.6168398,-85.83894356,19961.7,19961.8,65052.5,210.7,204,0.701,-24,-178.1,179.5,-2.4,0.73,-0.59,-61.6,-40.8,56.2,21.8,309.6,11.3,310,25.1,63.9,-157.2,22.1,18.36666667,108,12951,241,12632,319,0.040249188
91140,18-04-2017 18:22:25,60fps_v1/20170418/170418_175706_183328_frames/20170418_182225_frame_91140.jpg,34.60737438,-85.83903959,19961.3,19961.3,65055,210.9,204.7,0.704,-2,-178.29,179.5,-2.3,0.73,-0.36,-62.2,-41.3,56.2,22,310.1,10.6,309.1,25.1,64,-157.1,21.9,18.36666667,108,12951,241,12649,302,0.040382024
91440,18-04-2017 18:22:30,60fps_v1/20170418/170418_175706_183328_frames/20170418_182230_frame_91440.jpg,34.59789814,-85.83879997,19960.7,19960.9,65059.91803,211,205.3,0.705,-37,-178.3,179.5,-2.2,0.68,-0.18,-62.3,-41.3,56.2,22.10163934,310.1,10.4,308.6,25.1,64.1,-157.1,21.7,18.36666667,108,12951,241,11745,1206,0.035959413
91740,18-04-2017 18:22:35,60fps_v1/20170418/170418_175706_183328_frames/20170418_182235_frame_91740.jpg,34.58842031,-85.83890011,19959.4,19959.6,65052.5,211.1,205.6,0.706,-30,-178.24,179.5,-2.3,0.65,-0.2,-62.3,-41.3,56.2,22.2,310.4,10.6,306.9,25.1,64.1,-157,21.7,18.36666667,108,12951,241,11355,1596,0.034348688
92040,18-04-2017 18:22:40,60fps_v1/20170418/170418_175706_183328_frames/20170418_182240_frame_92040.jpg,34.57893616,-85.83865621,19958.3,19958.6,65042.5,211.2,205.6,0.706,-34,-178.22,179.5,-2.3,0.67,-0.34,-62.3,-41.2,56.3,22.3,310.3,10.8,307.8,25.1,64,-157,22,18.36666667,108,12951,241,11136,1815,0.033518466
92340,18-04-2017 18:22:45,60fps_v1/20170418/170418_175706_183328_frames/20170418_182245_frame_92340.jpg,34.56944224,-85.83841827,19957.5,19957.6,65047.5,211.4,205.3,0.705,-3,-178.3,179.5,-2.3,0.78,-0.26,-62.1,-41.2,56.3,22.1,310.5,10.4,307.4,25.1,64,-156.9,21.9,18.36666667,108,13071,241,11368,1703,0.034460939
92640,18-04-2017 18:22:50,60fps_v1/20170418/170418_175706_183328_frames/20170418_182250_frame_92640.jpg,34.55995,-85.83852243,19958,19957.8,65045,211.4,205.5,0.706,68,-178.34,179.5,-2.2,0.79,-0.13,-62.1,-41.1,56.3,22.2,309.9,10.3,308.5,25.1,64,-156.9,21.7,18.36666667,108,13071,241,11646,1425,0.035609159
92940,18-04-2017 18:22:55,60fps_v1/20170418/170418_175706_183328_frames/20170418_182255_frame_92940.jpg,34.55045101,-85.83828331,19960,19959.6,65060,211.4,205.6,0.707,60,-178.36,179.5,-2.2,0.71,-0.07,-62.1,-41.1,56.2,22.2,309.5,10.1,309.6,25.1,64.1,-156.8,21.7,18.36666667,108,13041,241,11511,1530,0.03503338
93240,18-04-2017 18:23:00,60fps_v1/20170418/170418_175706_183328_frames/20170418_182300_frame_93240.jpg,34.54095316,-85.83838144,19960.6,19960.7,65062.5,211.6,205.6,0.706,-26,-178.36,179.5,-2.2,0.59,-0.12,-62,-41,56.2,22.2,309.9,10.3,310.1,25.1,64.2,-156.8,22,18.38333333,108,13041,241,11749,1292,0.0360777
93540,18-04-2017 18:23:05,60fps_v1/20170418/170418_175706_183328_frames/20170418_182305_frame_93540.jpg,34.53144818,-85.83813243,19959.3,19959.6,65057.5,211.8,206.3,0.709,-58,-178.34,179.5,-2.2,0.52,-0.16,-62,-40.7,56.2,22.4,309,9.8,307.9,25.1,64.3,-156.7,22.2,18.38333333,108,13011,241,12328,683,0.038858297
93840,18-04-2017 18:23:10,60fps_v1/20170418/170418_175706_183328_frames/20170418_182310_frame_93840.jpg,34.52193034,-85.83822478,19957.2,19957.6,65045,212,206.2,0.709,-65,-178.35,179.5,-2.1,0.55,-0.14,-62.1,-41,56.3,22.4,309.5,10,309.6,25.1,64.2,-156.7,22.1,18.38333333,108,13611,241,12419,1192,0.039376408
94140,18-04-2017 18:23:15,60fps_v1/20170418/170418_175706_183328_frames/20170418_182315_frame_94140.jpg,34.51240994,-85.83796705,19955.6,19955.9,65045,212.1,206.8,0.711,-24,-178.29,179.6,-2.1,0.46,-0.13,-62.3,-41,56.3,22.6,310.8,9.8,307.7,25.1,64.3,-156.6,22.2,18.38333333,108,12981,241,12481,500,0.039726471
94440,18-04-2017 18:23:20,60fps_v1/20170418/170418_175706_183328_frames/20170418_182320_frame_94440.jpg,34.50288154,-85.83804943,19954.7,19954.8,65042.5,212.3,207.1,0.712,-11,-178.25,179.6,-2.2,0.51,-0.18,-62.1,-40.7,56.3,22.7,310.4,10.1,306.2,25.1,64.3,-156.6,22.3,18.38333333,108,12981,241,12699,282,0.040966624
94740,18-04-2017 18:23:25,60fps_v1/20170418/170418_175706_183328_frames/20170418_182325_frame_94740.jpg,34.49334253,-85.83779011,19954.2,19954.3,65042.5,212.3,207.1,0.713,-25,-178.31,179.6,-2.1,0.51,-0.27,-62.7,-41.3,56.3,22.7,309.6,9.8,307.8,25.1,64.2,-156.5,22.6,18.38333333,108,13611,241,13513,98,0.046145813
95040,18-04-2017 18:23:30,60fps_v1/20170418/170418_175706_183328_frames/20170418_182330_frame_95040.jpg,34.48380324,-85.83787165,19953.1,19953.4,65040,212.5,206.9,0.712,-39,-178.26,179.6,-2.2,0.55,-0.12,-62.8,-41.5,56.3,22.6,309.4,10,308.5,25.1,64.3,-156.4,22.2,18.38333333,108,13611,241,13671,60,0.047364184
95340,18-04-2017 18:23:35,60fps_v1/20170418/170418_175706_183328_frames/20170418_182335_frame_95340.jpg,34.47425527,-85.8376084,19952.2,19952.2,65037.5,212.5,206.6,0.711,1,-178.28,179.6,-2.1,0.57,-0.2,-62.8,-41.5,56.3,22.6,310.9,10.2,310,25.1,64.2,-156.4,22.4,18.38333333,108,13641,241,13587,54,0.046747061
95640,18-04-2017 18:23:40,60fps_v1/20170418/170418_175706_183328_frames/20170418_182340_frame_95640.jpg,34.4647081,-85.83768591,19952.3,19952.2,65045,212.7,206.8,0.712,50,-178.31,179.6,-2.1,0.55,-0.21,-62.8,-41.5,56.3,22.6,310.6,10.1,310,25.1,64.2,-156.3,22.5,18.38333333,108,13641,241,13805,164,0.048441954
95940,18-04-2017 18:23:45,60fps_v1/20170418/170418_175706_183328_frames/20170418_182345_frame_95940.jpg,34.45515716,-85.83741838,19952.9,19952.9,65042.5,212.7,207.1,0.713,11,-178.4,179.6,-2,0.5,-0.07,-62.8,-41.4,56.3,22.7,309.6,9.7,311.2,25.1,64.3,-156.3,22.5,18.38333333,108,13641,241,12941,700,0.042472961
96240,18-04-2017 18:23:50,60fps_v1/20170418/170418_175706_183328_frames/20170418_182350_frame_96240.jpg,34.44559738,-85.83748886,19953,19952.9,65052.5,212.8,207.7,0.716,3,-178.39,179.7,-1.9,0.46,0.09,-63,-41.4,56.2,22.9,309.6,9.2,310.1,25.1,64.4,-156.2,22.2,18.38333333,108,13671,241,12892,779,0.042195623
96540,18-04-2017 18:23:55,60fps_v1/20170418/170418_175706_183328_frames/20170418_182355_frame_96540.jpg,34.43603797,-85.83754961,19951.6,19952.1,65040,212.9,207.6,0.716,-62,-178.25,179.7,-2,0.41,-0.12,-63.4,-42,56.3,22.9,309.9,9.7,309.4,25.1,64.4,-156.2,22.6,18.38333333,108,13671,241,12595,1076,0.040515739
96840,18-04-2017 18:24:00,60fps_v1/20170418/170418_175706_183328_frames/20170418_182400_frame_96840.jpg,34.42647312,-85.83726323,19949.8,19950.1,65040,213,209,0.721,-31,-178.08,179.7,-2.2,0.26,-0.31,-64,-42.2,56.3,23.3,309.6,9.5,302,25.1,64.5,-156.1,23,18.4,108,13641,241,12812,829,0.041777845
97140,18-04-2017 18:24:05,60fps_v1/20170418/170418_175706_183328_frames/20170418_182405_frame_97140.jpg,34.41689779,-85.83732591,19947.8,19948.4,65032.5,213.2,209,0.722,-80,-178.26,179.7,-2.1,0.23,-0.4,-64.2,-42.4,56.3,23.3,310.3,9.1,302.4,25.1,64.5,-156.1,23.4,18.4,108,13641,241,13746,105,0.048126371
97440,18-04-2017 18:24:10,60fps_v1/20170418/170418_175706_183328_frames/20170418_182410_frame_97440.jpg,34.40732225,-85.83704908,19945.6,19945.9,65022.5,213.2,208.8,0.721,8,-178.35,179.7,-2,0.43,-0.1,-64.2,-42.40163934,56.3,23.3,309.6,9.1,306.1,25.1,64.4,-156,22.8,18.4,108,13641,241,14253,612,0.052437285
